Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.90     0.00   319543     0.00     0.00  std::vector<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >, std::allocator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > > >::size() const
  0.00      1.90     0.00   312540     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<InverseFlowPair> >::__maxsize_helper<std::allocator<InverseFlowPair> const>::value, unsigned long>::type std::allocator_traits<std::allocator<InverseFlowPair> >::_S_max_size<std::allocator<InverseFlowPair> const>(std::allocator<InverseFlowPair> const&)
  0.00      1.90     0.00   312540     0.00     0.00  std::allocator_traits<std::allocator<InverseFlowPair> >::max_size(std::allocator<InverseFlowPair> const&)
  0.00      1.90     0.00   279717     0.00     0.00  __gnu_cxx::new_allocator<InverseFlowPair>::~new_allocator()
  0.00      1.90     0.00   279717     0.00     0.00  std::allocator<InverseFlowPair>::~allocator()
  0.00      1.90     0.00   273894     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::new_allocator()
  0.00      1.90     0.00   273894     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::~new_allocator()
  0.00      1.90     0.00   273894     0.00     0.00  std::allocator<std::__detail::_Hash_node_base*>::~allocator()
  0.00      1.90     0.00   273894     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_node_allocator()
  0.00      1.90     0.00   247568     0.00     0.00  std::_Vector_base<InverseFlowPair, std::allocator<InverseFlowPair> >::_M_allocate(unsigned long)
  0.00      1.90     0.00   243181     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int&>(int*, int&)
  0.00      1.90     0.00   243181     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<int> >::__construct_helper<int, int&>::value, void>::type std::allocator_traits<std::allocator<int> >::_S_construct<int, int&>(std::allocator<int>&, int*, int&)
  0.00      1.90     0.00   243181     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<int&>)({parm#3}))) std::allocator_traits<std::allocator<int> >::construct<int, int&>(std::allocator<int>&, int*, int&)
  0.00      1.90     0.00   242198     0.00     0.00  __gnu_cxx::__normal_iterator<InverseFlowPair*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > >::operator*() const
  0.00      1.90     0.00   232060     0.00     0.00  long const& std::min<long>(long const&, long const&)
  0.00      1.90     0.00   228247     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      1.90     0.00   228245     0.00     0.00  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_before_begin()
  0.00      1.90     0.00   228245     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_before_begin()
  0.00      1.90     0.00   228245     0.00     0.00  std::_Vector_base<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >, std::allocator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > > >::_M_get_Tp_allocator()
  0.00      1.90     0.00   228245     0.00     0.00  std::__detail::_Hash_node_base::_Hash_node_base()
  0.00      1.90     0.00   201962     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.90     0.00   188419     0.00     0.00  std::_Vector_base<InverseFlowPair, std::allocator<InverseFlowPair> >::_Vector_impl::~_Vector_impl()
  0.00      1.90     0.00   188419     0.00     0.00  std::_Vector_base<InverseFlowPair, std::allocator<InverseFlowPair> >::~_Vector_base()
  0.00      1.90     0.00   188419     0.00     0.00  std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >::~vector()
  0.00      1.90     0.00   182596     0.00     0.00  __gnu_cxx::new_allocator<InverseFlowPair>::new_allocator(__gnu_cxx::new_allocator<InverseFlowPair> const&)
  0.00      1.90     0.00   182596     0.00     0.00  __gnu_cxx::__normal_iterator<InverseFlowPair const*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > >::__normal_iterator(InverseFlowPair const* const&)
  0.00      1.90     0.00   182596     0.00     0.00  __gnu_cxx::__normal_iterator<InverseFlowPair const*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > >::base() const
  0.00      1.90     0.00   182596     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >*, std::vector<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >, std::allocator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > > > >::base() const
  0.00      1.90     0.00   182596     0.00     0.00  std::move_iterator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >*>::base() const
  0.00      1.90     0.00   182596     0.00     0.00  std::allocator<InverseFlowPair>::allocator(std::allocator<InverseFlowPair> const&)
  0.00      1.90     0.00   182596     0.00     0.00  std::allocator<std::__detail::_Hash_node_base*>::allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> >(std::allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> > const&)
  0.00      1.90     0.00   182596     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<InverseFlowPair const*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > >, false>::_S_base(__gnu_cxx::__normal_iterator<InverseFlowPair const*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > >)
